Jasper, IL,3973,924,207
Jefferson, IL,11681,4408,729
Jersey, IL,7737,2673,499
Jo Daviess, IL,6113,4452,612
Johnson, IL,4644,1135,238
Kane, IL,82087,99389,12024
Kankakee, IL,25081,18908,2567
Kendall, IL,24152,23392,3271
Knox, IL,10658,9939,1367
Lake, IL,108608,168186,16780
LaSalle, IL,26269,19277,2901
Lawrence, IL,4517,1288,234
Lee, IL,8597,5499,1119
Livingston, IL,10197,4005,894
Logan, IL,8167,3301,662
Macon, IL,26782,18211,2290
Macoupin, IL,14194,6532,1155
Madison, IL,70295,50336,7271
Marion, IL,11677,4231,692
Marshall, IL,3776,1784,343
Mason, IL,4051,2008,374
Massac, IL,4844,1555,234
McDonough, IL,6789,5278,843
McHenry, IL,71117,59827,9201
McLean, IL,37081,35918,5996
Menard, IL,4230,1808,385
Mercer, IL,4800,3061,556
Monroe, IL,12614,5522,938
Montgomery, IL,8616,3490,723
Morgan, IL,9060,4693,854
Moultrie, IL,4453,1476,280
Ogle, IL,14344,8025,1429
Peoria, IL,35299,37436,4730
Perry, IL,6816,2433,457
Piatt, IL,5623,2633,643
Pike, IL,5749,1412,297
Pope, IL,1678,374,80
Pulaski, IL,1583,817,73
Pulaski, IL,1583,817,73
Putnam, IL,1762,1143,171
Randolph, IL,9992,3421,619
Richland, IL,5736,1579,315
Rock Island, IL,26969,32258,3744
Saline, IL,8248,2551,435
Sangamon, IL,49823,40731,5918
Schuyler, IL,2523,1074,195
Scott, IL,1965,528,90
Shelby, IL,8209,2279,424
St. Clair, IL,53479,60180,5542
Stark, IL,1777,748,182
Stephenson, IL,10845,7531,1149
Tazewell, IL,38620,20568,4159
Union, IL,5780,2389,345
Vermilion, IL,18582,9876,1341
Wabash, IL,4039,1146,217
Warren, IL,4267,2983,450
Washington, IL,5566,1446,364
Wayne, IL,6963,1048,245
White, IL,5639,1412,238
Whiteside, IL,12597,11005,1608
Will, IL,129726,146230,15054
Williamson, IL,21503,8539,1380
Winnebago, IL,53922,52595,6510
Woodford, IL,13180,5068,1141
Adams, IN,9642,2802,595
Allen, IN,83801,55222,6764
Bartholomew, IN,20637,9841,1911
Benton, IN,2579,860,215
Blackford, IN,3349,1243,230
Boone, IN,19654,10181,2226
Brown, IN,5015,2518,375
Carroll, IN,6273,1891,445
Cass, IN,9697,3758,680
Clark, IN,30012,18791,2301
Clay, IN,8528,2306,425
Clinton, IN,8530,2819,547
Crawford, IN,3013,1323,255
Daviess, IN,8545,1800,391
Dearborn, IN,18110,4883,917
Decatur, IN,8488,2121,486
DeKalb, IN,12054,3941,821
Delaware, IN,24217,18100,2382
Dubois, IN,13365,5389,1163
Elkhart, IN,41810,20667,2710
Fayette, IN,6839,2252,439
Floyd, IN,21427,13939,1859
Fountain, IN,5661,1476,337
Franklin, IN,8665,1967,358
Fulton, IN,6010,1960,404
Gibson, IN,11079,3720,673
Grant, IN,17009,7029,1201
Greene, IN,10275,2929,559
Hamilton, IN,87299,57214,9117
Hancock, IN,25050,8901,2076
Harrison, IN,12993,4776,759
Hendricks, IN,48326,22595,4337
Henry, IN,13895,5124,1056
Howard, IN,23675,11215,1864
Huntington, IN,11649,3506,819
